MC,date,year,month,flow,model_type,climate_change_scenario,loss_cover_scenario
15,2020-12,2020,12,59.70030430595004,VAR,1,0
15,2021-01,2021,1,13.495063457099393,VAR,1,0
15,2021-02,2021,2,12.722342729264215,VAR,1,0
15,2021-03,2021,3,59.74315555310955,VAR,1,0
15,2021-04,2021,4,100.0350709116417,VAR,1,0
15,2021-05,2021,5,102.99225302244685,VAR,1,0
15,2021-06,2021,6,68.19097985174983,VAR,1,0
15,2021-07,2021,7,35.21202880669543,VAR,1,0
15,2021-08,2021,8,41.766872239515855,VAR,1,0
15,2021-09,2021,9,82.27720206192764,VAR,1,0
15,2021-10,2021,10,114.04043760186896,VAR,1,0
15,2021-11,2021,11,104.43855636503599,VAR,1,0
15,2021-12,2021,12,61.03451745720485,VAR,1,0
16,2020-01,2020,1,350.1902545405225,VAR,1,0
16,2020-02,2020,2,366.72127488054423,VAR,1,0
16,2020-03,2020,3,396.1754793671563,VAR,1,0
16,2020-04,2020,4,510.2600150353609,VAR,1,0
16,2020-05,2020,5,602.712243458001,VAR,1,0
16,2020-06,2020,6,552.7474969787976,VAR,1,0
16,2020-07,2020,7,430.41482080831946,VAR,1,0
16,2020-08,2020,8,388.2267715517528,VAR,1,0
16,2020-09,2020,9,478.0793027180342,VAR,1,0
16,2020-10,2020,10,588.606494451001,VAR,1,0
16,2020-11,2020,11,583.0975774866254,VAR,1,0
16,2020-12,2020,12,509.48078511213475,VAR,1,0
16,2021-01,2021,1,364.3053525342222,VAR,1,0
16,2021-02,2021,2,339.11753474750606,VAR,1,0
16,2021-03,2021,3,448.8871548133288,VAR,1,0
16,2021-04,2021,4,565.4948463661148,VAR,1,0
16,2021-05,2021,5,614.8642427759693,VAR,1,0
16,2021-06,2021,6,535.2079898081829,VAR,1,0
16,2021-07,2021,7,419.23413452404617,VAR,1,0
16,2021-08,2021,8,386.56797646724,VAR,1,0
16,2021-09,2021,9,480.117937662718,VAR,1,0
16,2021-10,2021,10,594.9416838601641,VAR,1,0
16,2021-11,2021,11,607.9579756363021,VAR,1,0
16,2021-12,2021,12,511.4380921351858,VAR,1,0
17,2020-01,2020,1,7.694028168550338,VAR,1,0
17,2020-02,2020,2,9.655139917192024,VAR,1,0
17,2020-03,2020,3,12.773903561910007,VAR,1,0
17,2020-04,2020,4,14.181237877590945,VAR,1,0
17,2020-05,2020,5,14.650198977490312,VAR,1,0
17,2020-06,2020,6,14.753367440550713,VAR,1,0
17,2020-07,2020,7,14.55176461418838,VAR,1,0
17,2020-08,2020,8,13.090806958549873,VAR,1,0
17,2020-09,2020,9,12.135554907485693,VAR,1,0
17,2020-10,2020,10,10.510673994253946,VAR,1,0
17,2020-11,2020,11,9.684714423473286,VAR,1,0
17,2020-12,2020,12,9.282419647625114,VAR,1,0
17,2021-01,2021,1,9.9810296479606,VAR,1,0
17,2021-02,2021,2,11.11062768207524,VAR,1,0
17,2021-03,2021,3,12.161000182651724,VAR,1,0
17,2021-04,2021,4,13.257384658936695,VAR,1,0
17,2021-05,2021,5,14.02668573099732,VAR,1,0
17,2021-06,2021,6,14.065473509038625,VAR,1,0
17,2021-07,2021,7,13.501400312012649,VAR,1,0
17,2021-08,2021,8,12.648110408386946,VAR,1,0
17,2021-09,2021,9,11.831181340365395,VAR,1,0
17,2021-10,2021,10,10.99805253890512,VAR,1,0
17,2021-11,2021,11,10.446254371251849,VAR,1,0
17,2021-12,2021,12,10.40704914623845,VAR,1,0
18,2020-01,2020,1,44.67045090084004,VAR,1,0
18,2020-02,2020,2,44.05946724462522,VAR,1,0
18,2020-03,2020,3,48.968151641357785,VAR,1,0
18,2020-04,2020,4,62.42043697708953,VAR,1,0
18,2020-05,2020,5,64.89534814118561,VAR,1,0
18,2020-06,2020,6,63.76747618988106,VAR,1,0
18,2020-07,2020,7,56.323048867301466,VAR,1,0
18,2020-08,2020,8,61.881705301969255,VAR,1,0
18,2020-09,2020,9,67.38939552570776,VAR,1,0
18,2020-10,2020,10,64.82727437083564,VAR,1,0
18,2020-11,2020,11,62.818982497792156,VAR,1,0
18,2020-12,2020,12,54.67572394145429,VAR,1,0
18,2021-01,2021,1,51.04257662171365,VAR,1,0
18,2021-02,2021,2,49.52133889486925,VAR,1,0
18,2021-03,2021,3,54.41163636665386,VAR,1,0
18,2021-04,2021,4,59.853620108832864,VAR,1,0
18,2021-05,2021,5,62.87760730304163,VAR,1,0
18,2021-06,2021,6,59.35997573859184,VAR,1,0
18,2021-07,2021,7,59.89716834786914,VAR,1,0
18,2021-08,2021,8,62.69919137686964,VAR,1,0
18,2021-09,2021,9,64.00486520940635,VAR,1,0
18,2021-10,2021,10,65.05351962523967,VAR,1,0
18,2021-11,2021,11,60.329305366788454,VAR,1,0
18,2021-12,2021,12,56.10520796684945,VAR,1,0
19,2020-01,2020,1,2.43519533578331,VAR,1,0
19,2020-02,2020,2,0.16925124445328432,VAR,1,0
19,2020-03,2020,3,1.7866459441121918,VAR,1,0
19,2020-04,2020,4,6.563524074639221,VAR,1,0
19,2020-05,2020,5,10.367094102430329,VAR,1,0
19,2020-06,2020,6,6.607692607079824,VAR,1,0
19,2020-07,2020,7,2.4402797490693238,VAR,1,0
19,2020-08,2020,8,0.22807388176373244,VAR,1,0
19,2020-09,2020,9,2.3483794319730515,VAR,1,0
19,2020-10,2020,10,6.697336349290116,VAR,1,0
19,2020-11,2020,11,8.474446655340602,VAR,1,0
19,2020-12,2020,12,5.897721058219664,VAR,1,0
19,2021-01,2021,1,2.5931969454557833,VAR,1,0
19,2021-02,2021,2,1.2539461299453034,VAR,1,0
19,2021-03,2021,3,3.0358155248230863,VAR,1,0
19,2021-04,2021,4,6.000244015272644,VAR,1,0
19,2021-05,2021,5,6.945249919685283,VAR,1,0
19,2021-06,2021,6,5.214790140203848,VAR,1,0
19,2021-07,2021,7,2.879698208812005,VAR,1,0
19,2021-08,2021,8,2.0287609838216905,VAR,1,0
19,2021-09,2021,9,3.3174202089153075,VAR,1,0
19,2021-10,2021,10,5.274420668744325,VAR,1,0
19,2021-11,2021,11,5.855922214917463,VAR,1,0
19,2021-12,2021,12,4.681729121599557,VAR,1,0
20,2020-01,2020,1,121.6047882164166,VAR,1,0
20,2020-02,2020,2,116.62854311784956,VAR,1,0
20,2020-03,2020,3,181.6693159548513,VAR,1,0
