date,mc,v_loss_cover,v_rainfall_total,scenario,v_flow_mean_forecast
2021-08-01,9,0.00655,187.59,Def_25%_P_A1,30.624337499998486
2021-09-01,9,0.00656,72.95,Def_25%_P_A1,15.013132447915327
2021-10-01,9,0.00656,54.95,Def_25%_P_A1,9.762296235118324
2021-11-01,9,0.00657,30.32,Def_25%_P_A1,5.928715416666603
2021-12-01,9,0.00658,8.53,Def_25%_P_A1,2.5951273958334924
2020-01-01,10,0.06927,162.7,Def_25%_P_A1,9.170202083333345
2020-02-01,10,0.06934,399.9,Def_25%_P_A1,16.89917312499999
2020-03-01,10,0.06941,275.43,Def_25%_P_A1,17.58359921875001
2020-04-01,10,0.06948,296.17,Def_25%_P_A1,25.136903645833378
2020-05-01,10,0.06955,215.39,Def_25%_P_A1,13.098833333333335
2020-06-01,10,0.06962,99.63,Def_25%_P_A1,10.31351953125002
2020-07-01,10,0.06969,74.5,Def_25%_P_A1,7.061697447916665
2020-08-01,10,0.06976,55.76,Def_25%_P_A1,5.307429375000005
2020-09-01,10,0.06983,73.15,Def_25%_P_A1,4.851186770833326
2020-10-01,10,0.0699,520.27,Def_25%_P_A1,23.308705729166636
2020-11-01,10,0.06997,306.64,Def_25%_P_A1,21.078075260416707
2020-12-01,10,0.07004,86.05,Def_25%_P_A1,10.460189166666694
2021-01-01,10,0.07011,137.92,Def_25%_P_A1,7.255225729166666
2021-02-01,10,0.07018,167.72,Def_25%_P_A1,10.188492239583335
2021-03-01,10,0.07025,169.15,Def_25%_P_A1,10.504480468750012
2021-04-01,10,0.07032,376.78,Def_25%_P_A1,20.538499479166667
2021-05-01,10,0.07039,180.72,Def_25%_P_A1,14.063761718749985
2021-06-01,10,0.07046,99.46,Def_25%_P_A1,10.205411510416692
2021-07-01,10,0.07053,42.33,Def_25%_P_A1,6.037509270833333
2021-08-01,10,0.0706,1.97,Def_25%_P_A1,4.130490729166658
2021-09-01,10,0.07067,88.02,Def_25%_P_A1,4.828509270833325
2021-10-01,10,0.07074,224.74,Def_25%_P_A1,8.180289843750003
2021-11-01,10,0.07081,432.55,Def_25%_P_A1,26.908023958333402
2021-12-01,10,0.07088,241.66,Def_25%_P_A1,15.49132812500002
2020-01-01,11,0.02478,70.39,Def_25%_P_A1,10.422350972114536
2020-02-01,11,0.02481,122.81,Def_25%_P_A1,23.400300394850742
2020-03-01,11,0.02484,46.71,Def_25%_P_A1,16.44630758063547
2020-04-01,11,0.02486,179.06,Def_25%_P_A1,22.956646437374662
2020-05-01,11,0.02489,187.77,Def_25%_P_A1,26.329638830213902
2020-06-01,11,0.02492,30.8,Def_25%_P_A1,19.878989187163
2020-07-01,11,0.02495,67.67,Def_25%_P_A1,16.81544169979224
2020-08-01,11,0.02497,29.39,Def_25%_P_A1,13.05712578292424
2020-09-01,11,0.025,77.5,Def_25%_P_A1,13.64872076953066
2020-10-01,11,0.02503,104.83,Def_25%_P_A1,17.231289577345116
2020-11-01,11,0.02506,72.82,Def_25%_P_A1,19.75297850073857
2020-12-01,11,0.02508,9.08,Def_25%_P_A1,9.367075494791568
2021-01-01,11,0.02511,27.71,Def_25%_P_A1,12.673923479917754
2021-02-01,11,0.02514,49.52,Def_25%_P_A1,9.05329674030614
2021-03-01,11,0.02517,87.8,Def_25%_P_A1,14.356125154313329
2021-04-01,11,0.02519,134.79,Def_25%_P_A1,19.325616973735663
2021-05-01,11,0.02522,152.1,Def_25%_P_A1,23.84012807918342
2021-06-01,11,0.02525,43.53,Def_25%_P_A1,17.328132341948525
2021-07-01,11,0.02528,36.5,Def_25%_P_A1,15.88117941463682
2021-08-01,11,0.0253,22.09,Def_25%_P_A1,7.468033986050018
2021-09-01,11,0.02533,76.1,Def_25%_P_A1,11.239796603630007
2021-10-01,11,0.02536,134.41,Def_25%_P_A1,19.834630279565037
2021-11-01,11,0.02539,167.08,Def_25%_P_A1,25.16730657057709
