CUENCA;A;Sm;FCL 2001 (ha);FCL 2002 (ha);FCL 2003 (ha);FCL 2004 (ha);FCL 2005 (ha);FCL 2006 (ha);FCL 2007 (ha);FCL 2008 (ha);FCL 2009 (ha);FCL 2010 (ha);FCL 2011 (ha);FCL 2012 (ha);FCL 2013 (ha);FCL 2014 (ha);FCL 2015 (ha);FCL 2016 (ha);FCL 2017 (ha);FCL 2018 (ha);FCL 2019 (ha); ;FCL 2001 (%);FCL 2002 (%);FCL 2003 (%);FCL 2004 (%);FCL 2005 (%);FCL 2006 (%);FCL 2007 (%);FCL 2008 (%);FCL 2009 (%);FCL 2010 (%);FCL 2011 (%);FCL 2012 (%);FCL 2013 (%);FCL 2014 (%);FCL 2015 (%);FCL 2016 (%);FCL 2017 (%);FCL 2018 (%);FCL 2019 (%);;FCL 2001 (% acum);FCL 2002 (% acum);FCL 2003 (% acum);FCL 2004 (% acum);FCL 2005 (% acum);FCL 2006 (% acum);FCL 2007 (% acum);FCL 2008 (% acum);FCL 2009 (% acum);FCL 2010 (% acum);FCL 2011 (% acum);FCL 2012 (% acum);FCL 2013 (% acum);FCL 2014 (% acum);FCL 2015 (% acum);FCL 2016 (% acum);FCL 2017 (% acum);FCL 2018 (% acum);FCL 2019 (% acum)
89;785489,606;27,54;1016,40;540,43;497,48;820,21;792,91;1174,98;891,30;636,92;1392,30;1696,34;734,71;1469,64;325,25;521,89;226,16;415,18;1147,52;612,51;345,54;;0,00129;0,00069;0,00063;0,00104;0,00101;0,00150;0,00113;0,00081;0,00177;0,00216;0,00094;0,00187;0,00041;0,00066;0,00029;0,00053;0,00146;0,00078;0,00044;;0,00129;0,00198;0,00262;0,00366;0,00467;0,00616;0,00730;0,00811;0,00988;0,01204;0,01298;0,01485;0,01526;0,01593;0,01622;0,01674;0,01820;0,01898;0,01942
90;195149,662;7,61;1027,77;902,97;780,02;1142,26;882,38;1589,78;1135,47;1664,45;1584,13;993,06;1256,29;1161,02;536,99;1309,38;1035,32;1662,62;2123,65;1484,97;1324,87;;0,00527;0,00463;0,00400;0,00585;0,00452;0,00815;0,00582;0,00853;0,00812;0,00509;0,00644;0,00595;0,00275;0,00671;0,00531;0,00852;0,01088;0,00761;0,00679;;0,00527;0,00989;0,01389;0,01974;0,02427;0,03241;0,03823;0,04676;0,05488;0,05997;0,06640;0,07235;0,07510;0,08181;0,08712;0,09564;0,10652;0,11413;0,12092
91;449129,719;20,86;2471,78;2231,96;1362,24;3077,96;1547,52;2681,24;3211,59;2830,21;3578,57;4505,11;4141,11;6080,55;2439,89;5163,62;3722,04;5966,59;9685,81;6113,58;5470,02;;0,00550;0,00497;0,00303;0,00685;0,00345;0,00597;0,00715;0,00630;0,00797;0,01003;0,00922;0,01354;0,00543;0,01150;0,00829;0,01328;0,02157;0,01361;0,01218;;0,00550;0,01047;0,01351;0,02036;0,02380;0,02977;0,03693;0,04323;0,05119;0,06123;0,07045;0,08398;0,08942;0,10091;0,10920;0,12249;0,14405;0,15766;0,16984
92;497237,491;13,15;3604,58;2848,82;1827,84;4971,32;3482,76;3908,47;6242,26;3488,25;4577,80;5772,92;2224,26;4445,23;2855,91;4612,36;4407,09;5867,43;9841,11;6845,23;5905,49;;0,00725;0,00573;0,00368;0,01000;0,00700;0,00786;0,01255;0,00702;0,00921;0,01161;0,00447;0,00894;0,00574;0,00928;0,00886;0,01180;0,01979;0,01377;0,01188;;0,00725;0,01298;0,01665;0,02665;0,03366;0,04152;0,05407;0,06109;0,07029;0,08190;0,08638;0,09532;0,10106;0,11034;0,11920;0,13100;0,15079;0,16456;0,17643
93;958976,485;21,94;3819,15;3385,28;2421,66;3264,30;2898,86;3430,51;5674,14;3352,63;5169,26;3063,23;2782,68;5393,06;1633,10;2800,23;1767,43;3030,43;5463,77;2063,31;2042,49;;0,00398;0,00353;0,00253;0,00340;0,00302;0,00358;0,00592;0,00350;0,00539;0,00319;0,00290;0,00562;0,00170;0,00292;0,00184;0,00316;0,00570;0,00215;0,00213;;0,00398;0,00751;0,01004;0,01344;0,01646;0,02004;0,02596;0,02945;0,03485;0,03804;0,04094;0,04657;0,04827;0,05119;0,05303;0,05619;0,06189;0,06404;0,06617
94;297371,652;22,33;696,80;732,34;468,42;910,22;526,24;568,57;1483,45;356,98;786,04;446,38;487,95;783,45;386,35;614,80;651,79;994,89;2171,55;1255,45;1239,13;;0,00234;0,00246;0,00158;0,00306;0,00177;0,00191;0,00499;0,00120;0,00264;0,00150;0,00164;0,00263;0,00130;0,00207;0,00219;0,00335;0,00730;0,00422;0,00417;;0,00234;0,00481;0,00638;0,00944;0,01121;0,01312;0,01811;0,01931;0,02196;0,02346;0,02510;0,02773;0,02903;0,03110;0,03329;0,03664;0,04394;0,04816;0,05233
95;710110,399;21,99;4702,82;3762,62;2961,40;3834,10;3897,10;4916,63;4386,12;3157,51;4370,63;3917,47;2687,57;3928,53;3244,70;3995,73;3436,00;4852,10;8995,50;6021,82;6214,49;;0,00662;0,00530;0,00417;0,00540;0,00549;0,00692;0,00618;0,00445;0,00615;0,00552;0,00378;0,00553;0,00457;0,00563;0,00484;0,00683;0,01267;0,00848;0,00875;;0,00662;0,01192;0,01609;0,02149;0,02698;0,03390;0,04008;0,04453;0,05068;0,05620;0,05998;0,06551;0,07008;0,07571;0,08055;0,08738;0,10005;0,10853;0,11728
96;210375,358;5,05;841,34;209,31;254,69;615,64;252,25;279,56;215,56;913,88;913,81;99,77;262,24;644,93;215,79;292,91;295,12;954,46;679,79;572,23;759,42;;0,00400;0,00099;0,00121;0,00293;0,00120;0,00133;0,00102;0,00434;0,00434;0,00047;0,00125;0,00307;0,00103;0,00139;0,00140;0,00454;0,00323;0,00272;0,00361;;0,00400;0,00499;0,00620;0,00913;0,01033;0,01166;0,01268;0,01703;0,02137;0,02185;0,02309;0,02616;0,02718;0,02858;0,02998;0,03452;0,03775;0,04047;0,04408
97;115222,497;2,29;304,27;84,67;33,03;313,42;177,27;121,43;84,59;609,61;244,09;29,60;84,36;148,82;127,15;141,72;100,99;211,44;200,08;269,18;265,29;;0,00264;0,00073;0,00029;0,00272;0,00154;0,00105;0,00073;0,00529;0,00212;0,00026;0,00073;0,00129;0,00110;0,00123;0,00088;0,00184;0,00174;0,00234;0,00230;;0,00264;0,00338;0,00366;0,00638;0,00792;0,00897;0,00971;0,01500;0,01712;0,01737;0,01811;0,01940;0,02050;0,02173;0,02261;0,02444;0,02618;0,02852;0,03082
98;822911,724;19,34;822,27;480,47;1297,18;1151,18;733,71;865,14;1097,94;2562,01;1980,70;841,42;1692,37;2704,81;1271,70;2549,28;2193,90;5372,69;10705,49;5619,30;3507,55;;0,00100;0,00058;0,00158;0,00140;0,00089;0,00105;0,00133;0,00311;0,00241;0,00102;0,00206;0,00329;0,00155;0,00310;0,00267;0,00653;0,01301;0,00683;0,00426;;0,00100;0,00158;0,00316;0,00456;0,00545;0,00650;0,00784;0,01095;0,01336;0,01438;0,01643;0,01972;0,02127;0,02436;0,02703;0,03356;0,04657;0,05340;0,05766
99;201171,408;12,1;634,48;348,28;164,07;630,05;463,08;791,91;371,85;732,80;1958,66;770,94;1158,66;955,68;653,85;1075,97;957,82;2783,75;3319,53;2567,12;1408,92;;0,00315;0,00173;0,00082;0,00313;0,00230;0,00394;0,00185;0,00364;0,00974;0,00383;0,00576;0,00475;0,00325;0,00535;0,00476;0,01384;0,01650;0,01276;0,00700;;0,00315;0,00489;0,00570;0,00883;0,01113;0,01507;0,01692;0,02056;0,03030;0,03413;0,03989;0,04464;0,04789;0,05324;0,05800;0,07184;0,08834;0,10110;0,10810
100;827379,425;21,63;1560,18;2107,55;4672,54;1291,53;1830,21;1643,71;3441,72;1507,48;2066,21;1186,88;1644,09;1986,27;1635,55;2041,19;1607,63;3351,03;4633,94;3143,33;1909,31;;0,00189;0,00255;0,00565;0,00156;0,00221;0,00199;0,00416;0,00182;0,00250;0,00143;0,00199;0,00240;0,00198;0,00247;0,00194;0,00405;0,00560;0,00380;0,00231;;0,00189;0,00443;0,01008;0,01164;0,01385;0,01584;0,02000;0,02182;0,02432;0,02575;0,02774;0,03014;0,03212;0,03459;0,03653;0,04058;0,04618;0,04998;0,05229
101;344114,64;33,35;867,12;416,63;1312,28;530,05;686,88;713,58;807,02;806,25;716,09;240,12;528,60;556,14;367,58;437,60;301,37;542,41;735,39;574,37;638,22;;0,00252;0,00121;0,00381;0,00154;0,00200;0,00207;0,00235;0,00234;0,00208;0,00070;0,00154;0,00162;0,00107;0,00127;0,00088;0,00158;0,00214;0,00167;0,00185;;0,00252;0,00373;0,00754;0,00908;0,01108;0,01315;0,01550;0,01784;0,01992;0,02062;0,02216;0,02377;0,02484;0,02611;0,02699;0,02857;0,03070;0,03237;0,03423
102;229935,686;6,76;195,96;148,67;131,27;425,32;158,58;173,53;84,59;310,14;522,73;123,34;799,47;543,48;1324,64;881,31;628,30;4558,35;5803,59;2388,02;1707,70;;0,00085;0,00065;0,00057;0,00185;0,00069;0,00075;0,00037;0,00135;0,00227;0,00054;0,00348;0,00236;0,00576;0,00383;0,00273;0,01982;0,02524;0,01039;0,00743;;0,00085;0,00150;0,00207;0,00392;0,00461;0,00536;0,00573;0,00708;0,00935;0,00989;0,01337;0,01573;0,02149;0,02532;0,02806;0,04788;0,07312;0,08351;0,09093
103;60038,081;32,05;274,75;91,00;55,76;116,78;136,46;84,97;72,39;114,65;155,99;72,92;281,16;336,61;46,76;76,74;57,67;92,83;279,33;12,89;196,49;;0,00458;0,00152;0,00093;0,00195;0,00227;0,00142;0,00121;0,00191;0,00260;0,00121;0,00468;0,00561;0,00078;0,00128;0,00096;0,00155;0,00465;0,00021;0,00327;;0,00458;0,00609;0,00702;0,00897;0,01124;0,01265;0,01386;0,01577;0,01837;0,01958;0,02427;0,02987;0,03065;0,03193;0,03289;0,03444;0,03909;0,03930;0,04258
104;209922,908;7,41;881,54;591,23;300,84;584,59;908,47;472,77;983,60;795,42;960,49;690,01;892,45;1237,83;442,49;678,41;924,94;1778,34;1907,55;946,61;1095,04;;0,00420;0,00282;0,00143;0,00278;0,00433;0,00225;0,00469;0,00379;0,00458;0,00329;0,00425;0,00590;0,00211;0,00323;0,00441;0,00847;0,00909;0,00451;0,00522;;0,00420;0,00702;0,00845;0,01123;0,01556;0,01781;0,02250;0,02629;0,03086;0,03415;0,03840;0,04430;0,04641;0,04964;0,05404;0,06252;0,07160;0,07611;0,08133
105;246959,062;1,4;3,13;5,26;1,75;4,27;2,29;6,25;12,28;17,47;27,61;6,94;4,12;11,44;2,52;4,20;7,40;13,88;23,19;11,29;27,38;;0,00001;0,00002;0,00001;0,00002;0,00001;0,00003;0,00005;0,00007;0,00011;0,00003;0,00002;0,00005;0,00001;0,00002;0,00003;0,00006;0,00009;0,00005;0,00011;;0,00001;0,00003;0,00004;0,00006;0,00007;0,00009;0,00014;0,00021;0,00033;0,00035;0,00037;0,00042;0,00043;0,00044;0,00047;0,00053;0,00062;0,00067;0,00078
106;414431,339;2,75;19,83;28,99;16,25;44,70;19,15;57,51;80,85;11,67;36,99;63,62;22,96;65,60;29,90;53,78;29,90;49,58;89,93;46,38;86,58;;0,00005;0,00007;0,00004;0,00011;0,00005;0,00014;0,00020;0,00003;0,00009;0,00015;0,00006;0,00016;0,00007;0,00013;0,00007;0,00012;0,00022;0,00011;0,00021;;0,00005;0,00012;0,00016;0,00026;0,00031;0,00045;0,00064;0,00067;0,00076;0,00092;0,00097;0,00113;0,00120;0,00133;0,00140;0,00152;0,00174;0,00185;0,00206
107;291807,837;1,36;241,72;292,83;50,42;112,20;169,03;49,35;181,39;342,03;671,47;82,38;205,19;239,21;230,28;196,34;225,86;535,24;1290,85;727,99;342,26;;0,00083;0,00100;0,00017;0,00038;0,00058;0,00017;0,00062;0,00117;0,00230;0,00028;0,00070;0,00082;0,00079;0,00067;0,00077;0,00183;0,00442;0,00249;0,00117;;0,00083;0,00183;0,00200;0,00239;0,00297;0,00314;0,00376;0,00493;0,00723;0,00751;0,00822;0,00904;0,00983;0,01050;0,01127;0,01311;0,01753;0,02003;0,02120
108;369590,987;2,79;2497,03;1020,06;2349,89;1146,00;456,52;907,55;579,56;1802,59;1762,01;918,54;268,12;1081,16;233,49;627,92;991,08;1376,35;1057,21;901,91;981,69;;0,00676;0,00276;0,00636;0,00310;0,00124;0,00246;0,00157;0,00488;0,00477;0,00249;0,00073;0,00293;0,00063;0,00170;0,00268;0,00372;0,00286;0,00244;0,00266;;0,00676;0,00952;0,01587;0,01897;0,02021;0,02267;0,02423;0,02911;0,03388;0,03636;0,03709;0,04001;0,04065;0,04235;0,04503;0,04875;0,05161;0,05405;0,05671
109;445169,62;2,66;92,52;170,63;90,08;114,65;123,87;102,14;102,59;117,62;62,70;85,58;53,47;109,84;44,85;70,10;146,15;186,12;560,26;396,57;227,99;;0,00021;0,00038;0,00020;0,00026;0,00028;0,00023;0,00023;0,00026;0,00014;0,00019;0,00012;0,00025;0,00010;0,00016;0,00033;0,00042;0,00126;0,00089;0,00051;;0,00021;0,00059;0,00079;0,00105;0,00133;0,00156;0,00179;0,00205;0,00219;0,00239;0,00251;0,00275;0,00285;0,00301;0,00334;0,00376;0,00502;0,00591;0,00642
110;364824,257;3,51;91,38;140,50;53,01;120,44;149,20;144,55;138,60;197,25;103,20;67,51;62,62;51,56;60,56;130,43;196,11;267,12;499,92;276,05;383,37;;0,00025;0,00039;0,00015;0,00033;0,00041;0,00040;0,00038;0,00054;0,00028;0,00019;0,00017;0,00014;0,00017;0,00036;0,00054;0,00073;0,00137;0,00076;0,00105;;0,00025;0,00064;0,00078;0,00111;0,00152;0,00192;0,00230;0,00284;0,00312;0,00330;0,00348;0,00362;0,00378;0,00414;0,00468;0,00541;0,00678;0,00754;0,00859
111;454639,352;1,24;31,81;85,96;17,54;26,01;58,50;15,48;77,57;97,10;333,26;27,69;49,81;62,70;23,19;27,23;95,04;316,63;191,23;166,74;78,72;;0,00007;0,00019;0,00004;0,00006;0,00013;0,00003;0,00017;0,00021;0,00073;0,00006;0,00011;0,00014;0,00005;0,00006;0,00021;0,00070;0,00042;0,00037;0,00017;;0,00007;0,00026;0,00030;0,00035;0,00048;0,00052;0,00069;0,00090;0,00163;0,00170;0,00181;0,00194;0,00199;0,00205;0,00226;0,00296;0,00338;0,00375;0,00392
112;665114,86;18,01;730,66;336,99;439,59;625,48;564,61;652,78;966,06;914,87;1143,94;726,77;639,28;773,61;194,66;400,84;385,20;663,08;1166,13;548,44;921,28;;0,00110;0,00051;0,00066;0,00094;0,00085;0,00098;0,00145;0,00138;0,00172;0,00109;0,00096;0,00116;0,00029;0,00060;0,00058;0,00100;0,00175;0,00082;0,00139;;0,00110;0,00161;0,00227;0,00321;0,00406;0,00504;0,00649;0,00786;0,00958;0,01068;0,01164;0,01280;0,01309;0,01370;0,01428;0,01527;0,01703;0,01785;0,01924
113;888110,986;5,61;2751,79;1845,00;1091,46;1600,53;2900,15;788,71;2694,20;2447,14;3463,62;1293,52;1817,77;2576,43;1566,74;2815,56;2502,44;5943,40;9106,48;6222,73;5369,34;;0,00310;0,00208;0,00123;0,00180;0,00327;0,00089;0,00303;0,00276;0,00390;0,00146;0,00205;0,00290;0,00176;0,00317;0,00282;0,00669;0,01025;0,00701;0,00605;;0,00310;0,00518;0,00640;0,00821;0,01147;0,01236;0,01539;0,01815;0,02205;0,02351;0,02555;0,02845;0,03022;0,03339;0,03621;0,04290;0,05315;0,06016;0,06620
114;247555,923;3,64;657,51;390,47;637,53;1823,95;408,24;470,71;300,99;719,07;986,27;273,07;225,25;495,73;222,27;550,80;464,07;1795,50;1575,97;808,92;745,39;;0,00266;0,00158;0,00258;0,00737;0,00165;0,00190;0,00122;0,00290;0,00398;0,00110;0,00091;0,00200;0,00090;0,00222;0,00187;0,00725;0,00637;0,00327;0,00301;;0,00266;0,00423;0,00681;0,01418;0,01583;0,01773;0,01894;0,02185;0,02583;0,02693;0,02784;0,02985;0,03074;0,03297;0,03484;0,04210;0,04846;0,05173;0,05474
115;533258,273;10,56;2321,13;1344,85;5708,70;906,25;1299,69;1604,35;2640,35;1642,33;1731,12;949,96;656,67;1734,94;797,64;1315,41;2149,81;3535,09;4793,82;3269,41;2336,38;;0,00435;0,00252;0,01071;0,00170;0,00244;0,00301;0,00495;0,00308;0,00325;0,00178;0,00123;0,00325;0,00150;0,00247;0,00403;0,00663;0,00899;0,00613;0,00438;;0,00435;0,00687;0,01758;0,01928;0,02172;0,02473;0,02968;0,03276;0,03600;0,03778;0,03902;0,04227;0,04376;0,04623;0,05026;0,05689;0,06588;0,07201;0,07639
116;527072,739;5,54;997,86;348,05;517,39;638,75;734,10;1134,40;1383,83;820,82;1194,20;689,86;720,67;635,70;169,34;274,07;265,45;788,79;1532,57;712,36;984,13;;0,00189;0,00066;0,00098;0,00121;0,00139;0,00215;0,00263;0,00156;0,00227;0,00131;0,00137;0,00121;0,00032;0,00052;0,00050;0,00150;0,00291;0,00135;0,00187;;0,00189;0,00255;0,00354;0,00475;0,00614;0,00829;0,01092;0,01247;0,01474;0,01605;0,01742;0,01862;0,01894;0,01946;0,01997;0,02146;0,02437;0,02572;0,02759
117;630096,342;2,15;37,83;54,92;32,42;84,59;77,57;32,04;144,77;52,78;232,80;82,99;108,47;149,81;26,54;28,99;8,24;37,83;64,68;209,00;384,82;;0,00006;0,00009;0,00005;0,00013;0,00012;0,00005;0,00023;0,00008;0,00037;0,00013;0,00017;0,00024;0,00004;0,00005;0,00001;0,00006;0,00010;0,00033;0,00061;;0,00006;0,00015;0,00020;0,00033;0,00046;0,00051;0,00074;0,00082;0,00119;0,00132;0,00149;0,00173;0,00177;0,00182;0,00183;0,00189;0,00200;0,00233;0,00294
118;800531,504;6,78;620,98;509,84;568,04;915,94;898,93;1037,30;1303,05;1285,66;2208,39;639,74;1049,50;1253,47;863,39;1360,64;1294,81;1307,40;2415,48;990,08;984,44;;0,00078;0,00064;0,00071;0,00114;0,00112;0,00130;0,00163;0,00161;0,00276;0,00080;0,00131;0,00157;0,00108;0,00170;0,00162;0,00163;0,00302;0,00124;0,00123;;0,00078;0,00141;0,00212;0,00327;0,00439;0,00569;0,00731;0,00892;0,01168;0,01248;0,01379;0,01535;0,01643;0,01813;0,01975;0,02138;0,02440;0,02564;0,02687
119;343458,574;1,82;30,59;28,22;15,10;61,94;43,25;115,18;117,93;226,32;140,88;49,73;22,88;73,15;29,37;219,07;101,53;109,53;154,54;99,54;91,38;;0,00009;0,00008;0,00004;0,00018;0,00013;0,00034;0,00034;0,00066;0,00041;0,00014;0,00007;0,00021;0,00009;0,00064;0,00030;0,00032;0,00045;0,00029;0,00027;;0,00009;0,00017;0,00022;0,00040;0,00052;0,00086;0,00120;0,00186;0,00227;0,00241;0,00248;0,00269;0,00278;0,00342;0,00371;0,00403;0,00448;0,00477;0,00504
120;406328,015;2,36;27,61;26,47;35,85;27,92;20,98;18,61;15,64;22,35;15,03;15,03;34,25;55,30;5,26;11,98;9,00;13,12;8,92;21,28;131,66;;0,00007;0,00007;0,00009;0,00007;0,00005;0,00005;0,00004;0,00006;0,00004;0,00004;0,00008;0,00014;0,00001;0,00003;0,00002;0,00003;0,00002;0,00005;0,00032;;0,00007;0,00013;0,00022;0,00029;0,00034;0,00039;0,00043;0,00048;0,00052;0,00055;0,00064;0,00078;0,00079;0,00082;0,00084;0,00087;0,00089;0,00095;0,00127
121;254661,96;2,11;11,67;20,06;12,74;6,10;12,28;9,31;6,18;14,49;4,42;5,49;5,49;20,52;1,45;3,05;0,84;3,05;2,29;6,48;10,83;;0,00005;0,00008;0,00005;0,00002;0,00005;0,00004;0,00002;0,00006;0,00002;0,00002;0,00002;0,00008;0,00001;0,00001;0,00000;0,00001;0,00001;0,00003;0,00004;;0,00005;0,00012;0,00017;0,00020;0,00025;0,00028;0,00031;0,00036;0,00038;0,00040;0,00043;0,00051;0,00051;0,00052;0,00053;0,00054;0,00055;0,00057;0,00062
122;817718,667;2,26;20,75;22,96;26,09;24,79;20,59;18,46;29,06;18,15;45,00;18,08;17,39;102,36;15,94;8,92;10,60;18,84;41,50;11,90;26,93;;0,00003;0,00003;0,00003;0,00003;0,00003;0,00002;0,00004;0,00002;0,00006;0,00002;0,00002;0,00013;0,00002;0,00001;0,00001;0,00002;0,00005;0,00001;0,00003;;0,00003;0,00005;0,00009;0,00012;0,00014;0,00016;0,00020;0,00022;0,00028;0,00030;0,00032;0,00044;0,00046;0,00048;0,00049;0,00051;0,00056;0,00058;0,00061
123;1146402,842;3,12;801,60;1297,64;802,06;1188,33;798,17;731,58;519,83;691,91;842,56;587,26;560,26;740,81;433,10;568,19;474,68;737,22;808,54;1000,15;794,05;;0,00070;0,00113;0,00070;0,00104;0,00070;0,00064;0,00045;0,00060;0,00073;0,00051;0,00049;0,00065;0,00038;0,00050;0,00041;0,00064;0,00071;0,00087;0,00069;;0,00070;0,00183;0,00253;0,00357;0,00426;0,00490;0,00536;0,00596;0,00669;0,00721;0,00769;0,00834;0,00872;0,00921;0,00963;0,01027;0,01098;0,01185;0,01254
124;554938,5;2,13;105,19;128,68;71,09;148,36;81,01;44,55;25,71;58,50;33,33;43,55;43,40;87,03;27,46;26,70;31,35;40,05;69,95;45,16;40,50;;0,00019;0,00023;0,00013;0,00027;0,00015;0,00008;0,00005;0,00011;0,00006;0,00008;0,00008;0,00016;0,00005;0,00005;0,00006;0,00007;0,00013;0,00008;0,00007;;0,00019;0,00042;0,00055;0,00082;0,00096;0,00104;0,00109;0,00119;0,00125;0,00133;0,00141;0,00157;0,00162;0,00167;0,00172;0,00179;0,00192;0,00200;0,00208
125;801906,525;2,87;478,34;635,55;472,16;467,43;436,92;283,68;102,82;228,91;206,48;126,16;138,29;310,14;124,79;216,32;266,29;356,22;619,22;362,62;386,27;;0,00060;0,00079;0,00059;0,00058;0,00054;0,00035;0,00013;0,00029;0,00026;0,00016;0,00017;0,00039;0,00016;0,00027;0,00033;0,00044;0,00077;0,00045;0,00048;;0,00060;0,00139;0,00198;0,00256;0,00311;0,00346;0,00359;0,00387;0,00413;0,00429;0,00446;0,00485;0,00500;0,00527;0,00560;0,00605;0,00682;0,00727;0,00775
126;623190,539;1,79;436,92;423,26;492,91;856,37;497,56;652,48;662,24;673,84;1075,51;148,51;427,61;441,04;504,81;843,17;659,04;640,66;1112,28;612,43;403,13;;0,00070;0,00068;0,00079;0,00137;0,00080;0,00105;0,00106;0,00108;0,00173;0,00024;0,00069;0,00071;0,00081;0,00135;0,00106;0,00103;0,00178;0,00098;0,00065;;0,00070;0,00138;0,00217;0,00355;0,00434;0,00539;0,00645;0,00753;0,00926;0,00950;0,01019;0,01089;0,01170;0,01306;0,01411;0,01514;0,01693;0,01791;0,01856
127;497811,853;4,14;75,74;679,25;187,87;427,69;383,91;123,65;173,15;441,42;298,78;202,36;197,71;388,94;260,41;626,24;533,49;702,59;1360,64;1139,89;1118,38;;0,00015;0,00136;0,00038;0,00086;0,00077;0,00025;0,00035;0,00089;0,00060;0,00041;0,00040;0,00078;0,00052;0,00126;0,00107;0,00141;0,00273;0,00229;0,00225;;0,00015;0,00152;0,00189;0,00275;0,00352;0,00377;0,00412;0,00501;0,00561;0,00601;0,00641;0,00719;0,00772;0,00897;0,01005;0,01146;0,01419;0,01648;0,01873
128;187819,85;37,26;44,77;44,55;33,56;105,11;53,70;72,77;106,94;77,65;95,96;54,54;177,57;234,63;23,26;15,56;7,93;23,72;51,79;22,81;74,90;;0,00024;0,00024;0,00018;0,00056;0,00029;0,00039;0,00057;0,00041;0,00051;0,00029;0,00095;0,00125;0,00012;0,00008;0,00004;0,00013;0,00028;0,00012;0,00040;;0,00024;0,00048;0,00065;0,00121;0,00150;0,00189;0,00246;0,00287;0,00338;0,00367;0,00462;0,00587;0,00599;0,00607;0,00611;0,00624;0,00652;0,00664;0,00704
129;182477,397;26,14;85,74;105,26;96,19;178,79;75,74;240,66;167,73;279,94;193,29;135,93;206,94;315,79;162,55;282,30;338,60;180,02;176,58;68,19;222,04;;0,00047;0,00058;0,00053;0,00098;0,00042;0,00132;0,00092;0,00153;0,00106;0,00074;0,00113;0,00173;0,00089;0,00155;0,00186;0,00099;0,00097;0,00037;0,00122;;0,00047;0,00105;0,00157;0,00255;0,00297;0,00429;0,00521;0,00674;0,00780;0,00854;0,00968;0,01141;0,01230;0,01385;0,01570;0,01669;0,01766;0,01803;0,01925
130;497059,846;3,98;306,86;265,22;115,10;624,71;275,13;519,76;659,73;800,92;663,39;467,51;659,88;1305,34;584,82;782,91;705,57;884,21;718,46;644,39;1068,57;;0,00062;0,00053;0,00023;0,00126;0,00055;0,00105;0,00133;0,00161;0,00133;0,00094;0,00133;0,00263;0,00118;0,00158;0,00142;0,00178;0,00145;0,00130;0,00215;;0,00062;0,00115;0,00138;0,00264;0,00319;0,00424;0,00557;0,00718;0,00851;0,00945;0,01078;0,01341;0,01458;0,01616;0,01758;0,01936;0,02080;0,02210;0,02425
131;124959,873;27,1;820,29;346,99;397,25;298,63;246,07;188,63;475,44;479,86;408,31;760,03;500,46;744,47;848,74;2301,53;1762,09;4906,03;2414,65;2835,55;2972,46;;0,00656;0,00278;0,00318;0,00239;0,00197;0,00151;0,00380;0,00384;0,00327;0,00608;0,00400;0,00596;0,00679;0,01842;0,01410;0,03926;0,01932;0,02269;0,02379;;0,00656;0,00934;0,01252;0,01491;0,01688;0,01839;0,02219;0,02603;0,02930;0,03538;0,03939;0,04535;0,05214;0,07056;0,08466;0,12392;0,14324;0,16593;0,18972
132;96571,181;7,97;929,52;588,10;396,26;152,94;289,24;167,81;349,20;720,29;1388,56;1146,76;934,32;1100,46;1344,24;2301,75;2168,42;5284,21;3205,42;5278,11;4972,54;;0,00963;0,00609;0,00410;0,00158;0,00300;0,00174;0,00362;0,00746;0,01438;0,01187;0,00967;0,01140;0,01392;0,02383;0,02245;0,05472;0,03319;0,05466;0,05149;;0,00963;0,01572;0,01982;0,02140;0,02440;0,02613;0,02975;0,03721;0,05159;0,06346;0,07314;0,08453;0,09845;0,12229;0,14474;0,19946;0,23265;0,28731;0,33880
133;805649,504;3,85;342,26;158,81;174,37;200,53;177,19;276,66;196,80;412,43;281,16;202,29;137,07;133,64;172,85;242,94;428,91;816,02;1345,16;706,18;764,45;;0,00042;0,00020;0,00022;0,00025;0,00022;0,00034;0,00024;0,00051;0,00035;0,00025;0,00017;0,00017;0,00021;0,00030;0,00053;0,00101;0,00167;0,00088;0,00095;;0,00042;0,00062;0,00084;0,00109;0,00131;0,00165;0,00189;0,00241;0,00276;0,00301;0,00318;0,00334;0,00356;0,00386;0,00439;0,00540;0,00707;0,00795;0,00890
134;496827,526;3,5;756,06;688,86;396,41;1231,12;821,66;743,17;875,36;694,97;610,53;553,32;339,05;485,51;534,94;777,80;416,86;672,01;888,33;1607,70;1114,95;;0,00152;0,00139;0,00080;0,00248;0,00165;0,00150;0,00176;0,00140;0,00123;0,00111;0,00068;0,00098;0,00108;0,00157;0,00084;0,00135;0,00179;0,00324;0,00224;;0,00152;0,00291;0,00371;0,00618;0,00784;0,00933;0,01110;0,01249;0,01372;0,01484;0,01552;0,01650;0,01757;0,01914;0,01998;0,02133;0,02312;0,02635;0,02860
