cuenca|area_hidrografica|zona_hidrografica|subzona_hidrografica|departamento|municipio|area_cuenca_ha|area_municipio_por_cuenca_ha|area_municipio_por_cuenca_porc
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|PUERTO TEJADA|164855.3|10236.84|6.21
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|VILLA RICA|164855.3|895.87|0.54
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|CALOTO|164855.3|15128.96|9.18
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|TORIBÍO|164855.3|49216.08|29.85
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|JAMBALÓ|164855.3|19586.63|11.88
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|CALDONO|164855.3|3.94|0
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|SILVIA|164855.3|8077.87|4.9
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|SANTANDER DE QUILICHAO|164855.3|30.46|0.02
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|PADILLA|164855.3|6966.24|4.23
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|GUACHENÉ|164855.3|8249.31|5
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|PÁEZ (Belalcázar)|164855.3|166.86|0.1
6|Magdalena Cauca|Cauca|Río Palo|TOLIMA|PLANADAS|164855.3|196.61|0.12
6|Magdalena Cauca|Cauca|Río Palo|VALLE DEL CAUCA|CALI|164855.3|14.6|0.01
7|Magdalena Cauca|Cauca|Río Guachal (Bolo - Fraile y Párraga)|VALLE DEL CAUCA|PALMIRA|118436.22|26130.97|22.06
